Business Name,Address,Phone Number,Email,Latitude,Longitude,Zip Code
Community Services Agency of Sunnyvale,"20450 Saratoga-Los Gatos Rd, Saratoga, CA 95070",(408) 738-4321,info@csacares.org,37.269022,-122.032937,95070
Veggielution,"647 S King Rd, San Jose, CA 95116",(408) 753-5924,info@veggielution.org,37.325586,-121.849164,95116
SOMOS Mayfair,"370-B S King Rd, San Jose, CA 95116",(408) 218-1542,info@somosmayfair.org,37.326791,-121.848513,95116
Sacred Heart Nativity Schools,"310 Edwards Ave, San Jose, CA 95110",(408) 993-1293,info@shnativity.org,37.343525,-121.898352,95110
Valley Medical Center Foundation,"2400 Moorpark Ave, Suite 207, San Jose, CA 95128",(408) 885-5299,info@vmcfoundation.org,37.322833,-121.933797,95128
The Health Trust,"2105 Bascom Ave, Suite 200, San Jose, CA 95128",(408) 961-9800,info@healthtrust.org,37.316575,-121.932334,95128
Community Services Agency,"204 Stierlin Rd, Mountain View, CA 94043",(650) 968-0836,info@csacares.org,37.408964,-122.108274,94043
Family Giving Tree,"606 Valley Way, Milpitas, CA 95035",(408) 946-3111,info@familygivingtree.org,37.432516,-121.895039,95035
Community Services Agency of Mountain View and Los Altos,"204 Stierlin Rd, Mountain View, CA 94043",(650) 968-0836,info@csacares.org,37.408964,-122.108274,94043
Community Services Agency of Cupertino,"20450 Saratoga-Los Gatos Rd, Saratoga, CA 95070",(408) 255-8033,info@csacares.org,37.269022,-122.032937,95070
Food Bank of Contra Costa and Solano,"4010 Nelson Ave, Concord, CA 94520",(925) 676-7543,info@foodbankccs.org,37.981048,-122.038747,94520
Second Harvest Food Bank of Santa Clara and San Mateo Counties,"4001 North 1st St, San Jose, CA 95134",(408) 266-8866,info@shfb.org,37.406352,-121.932647,95134
Tri-City Volunteers,"37350 Joseph St, Fremont, CA 94536",(510) 793-4583,info@tri-cityvolunteers.org,37.561594,-122.016825,94536
Food Bank for Monterey County,"353 West Rossi Street, Salinas, CA 93907",(831) 758-1523,info@foodbankformontereycounty.org,36.705773,-121.663818,93907
Loaves & Fishes Family Kitchen,"39770 Mission Blvd, Fremont, CA 94539",(510) 792-6070,info@loavesfishes.org,37.544126,-121.960532,94539
